date,close,open,high,low,volume,volatility
2017-01-02,3308.67,3278.84,3314.06,3272.76,2023.0,0.55
2017-01-03,3315.02,3316.53,3334.44,3310.46,4009.0,0.19
2017-01-04,3317.52,3316.78,3325.5,3302.99,4042.0,0.08
2017-01-05,3316.47,3306.31,3323.16,3300.77,3625.0,-0.03
2017-01-06,3321.17,3311.35,3322.6,3299.66,2874.0,0.14
2017-01-09,3308.97,3324.45,3326.31,3296.53,3479.0,-0.37
2017-01-10,3306.21,3310.63,3318.24,3295.5,3514.0,-0.08
2017-01-11,3307.94,3306.82,3324.52,3285.21,4221.0,0.05
2017-01-12,3286.7,3299.74,3305.75,3281.37,4127.0,-0.64
2017-01-13,3324.34,3296.78,3326.97,3296.43,3735.0,1.15
2017-01-16,3294.53,3313.56,3313.56,3294.53,2904.0,-0.9
2017-01-17,3285.04,3290.62,3300.5,3266.1,3325.0,-0.29
2017-01-18,3294.0,3291.64,3300.24,3274.73,3297.0,0.27
2017-01-19,3290.33,3297.76,3306.12,3282.53,4177.0,-0.11
2017-01-20,3299.44,3290.11,3312.14,3278.82,4760.0,0.28
2017-01-23,3273.04,3284.87,3291.76,3262.61,3655.0,-0.8
2017-01-24,3281.53,3276.62,3283.38,3269.03,5741.0,0.26
2017-01-25,3326.15,3290.9,3334.16,3290.9,7282.0,1.36
2017-01-26,3319.13,3332.35,3342.47,3310.26,5124.0,-0.21
2017-01-27,3303.33,3318.2,3318.35,3294.78,3766.0,-0.48
2017-01-30,3262.72,3294.99,3296.27,3253.75,3987.0,-1.23
2017-01-31,3230.68,3263.87,3282.45,3230.68,4871.0,-0.98
2017-02-01,3258.92,3243.9,3273.94,3243.9,4811.0,0.87
2017-02-02,3253.61,3258.08,3265.45,3242.31,4400.0,-0.16
2017-02-03,3273.11,3259.77,3283.86,3258.56,4039.0,0.6
2017-02-06,3238.31,3274.87,3282.96,3235.23,3992.0,-1.06
2017-02-07,3235.71,3239.02,3252.29,3227.26,3820.0,-0.08
2017-02-08,3238.04,3240.82,3250.81,3214.31,5303.0,0.07
2017-02-09,3277.79,3248.07,3281.47,3243.53,4264.0,1.23
2017-02-10,3270.83,3281.29,3289.93,3264.84,3600.0,-0.21
2017-02-13,3305.23,3275.22,3314.66,3275.22,3393.0,1.05
2017-02-14,3308.89,3305.61,3310.8,3297.48,3342.0,0.11
2017-02-15,3323.71,3315.14,3334.12,3311.39,4103.0,0.45
2017-02-16,3311.04,3321.59,3327.59,3304.31,3404.0,-0.38
2017-02-17,3308.81,3310.73,3316.03,3282.42,4844.0,-0.07
2017-02-20,3312.39,3321.66,3330.11,3305.33,2773.0,0.11
2017-02-21,3339.33,3313.62,3345.99,3301.15,3378.0,0.81
2017-02-22,3339.27,3341.54,3355.4,3324.68,4632.0,0.0
2017-02-23,3333.96,3337.97,3350.16,3326.46,3612.0,-0.16
2017-02-24,3304.09,3333.7,3334.68,3280.36,4892.0,-0.9
2017-02-27,3309.3,3311.82,3322.97,3303.61,4538.0,0.16
2017-02-28,3319.61,3313.13,3324.94,3303.12,4409.0,0.31
2017-03-01,3390.2,3335.77,3393.23,3335.77,6008.0,2.13
2017-03-02,3384.71,3389.56,3391.18,3378.7,4418.0,-0.16
2017-03-03,3403.39,3381.12,3407.61,3371.42,5544.0,0.55
2017-03-06,3387.46,3397.72,3397.72,3379.5,3769.0,-0.47
2017-03-07,3385.12,3386.95,3390.92,3374.48,3290.0,-0.07
2017-03-08,3389.62,3381.81,3401.74,3376.07,4401.0,0.13
2017-03-09,3409.89,3387.8,3417.08,3379.24,6110.0,0.6
2017-03-10,3416.27,3417.64,3441.5,3414.84,6049.0,0.19
2017-03-13,3415.49,3417.02,3422.28,3409.17,3258.0,-0.02
2017-03-14,3399.43,3417.59,3417.59,3390.04,4309.0,-0.47
2017-03-15,3409.32,3399.45,3412.77,3399.01,3959.0,0.29
2017-03-16,3439.96,3427.0,3450.1,3427.0,6211.0,0.9
2017-03-17,3448.41,3436.33,3457.17,3428.86,8024.0,0.25
2017-03-20,3437.48,3441.56,3448.88,3431.88,3796.0,-0.32
2017-03-21,3429.62,3448.6,3471.5,3421.03,5791.0,-0.23
2017-03-22,3420.7,3415.53,3428.62,3397.67,5413.0,-0.26
2017-03-23,3452.18,3421.34,3452.26,3413.58,4541.0,0.92
2017-03-24,3444.15,3450.01,3450.01,3433.45,3522.0,-0.23
2017-03-27,3437.14,3432.63,3437.14,3411.48,3718.0,-0.2
2017-03-28,3465.07,3439.66,3466.37,3437.67,3663.0,0.81
2017-03-29,3475.27,3469.97,3484.02,3463.96,4070.0,0.29
2017-03-30,3481.58,3475.84,3481.81,3463.17,3229.0,0.18
2017-03-31,3500.93,3480.1,3500.93,3466.85,4622.0,0.56
2017-04-03,3472.94,3504.26,3508.11,3472.7,4268.0,-0.8
2017-04-04,3481.66,3472.54,3481.66,3462.46,4162.0,0.25
2017-04-05,3472.58,3484.54,3494.26,3469.88,4030.0,-0.26
2017-04-06,3489.57,3464.18,3493.33,3446.15,3691.0,0.49
2017-04-07,3495.8,3482.84,3495.8,3470.92,3398.0,0.18
2017-04-10,3480.44,3494.24,3494.88,3474.12,3035.0,-0.44
2017-04-11,3470.04,3467.1,3485.5,3446.84,4064.0,-0.3
2017-04-12,3468.51,3473.21,3497.72,3462.8,3760.0,-0.04
2017-04-13,3448.26,3463.5,3463.5,3442.19,3954.0,-0.58
2017-04-18,3409.78,3454.74,3460.94,3409.78,4436.0,-1.12
2017-04-19,3420.99,3408.42,3426.08,3407.33,4545.0,0.33
2017-04-20,3440.03,3417.48,3449.49,3408.4,4635.0,0.56
2017-04-21,3440.27,3440.71,3456.11,3419.76,6244.0,0.01
2017-04-24,3577.38,3480.62,3579.45,3480.62,11294.0,3.99
2017-04-25,3583.16,3581.36,3593.13,3573.65,5088.0,0.16
2017-04-26,3578.71,3582.98,3582.98,3569.19,4625.0,-0.12
2017-04-27,3563.29,3573.02,3573.02,3555.57,4886.0,-0.43
2017-04-28,3559.59,3556.44,3571.63,3553.81,4872.0,-0.1
2017-05-01,3559.59,3559.59,3559.59,3559.59,,0.0
2017-05-02,3578.21,3564.37,3578.36,3559.34,3947.0,0.52
2017-05-03,3586.25,3577.34,3586.25,3571.17,3337.0,0.22
2017-05-04,3627.88,3591.79,3627.88,3590.24,5442.0,1.16
2017-05-05,3658.79,3620.67,3658.79,3609.53,6029.0,0.85
2017-05-08,3642.11,3660.39,3666.8,3633.95,4836.0,-0.46
2017-05-09,3649.08,3647.16,3662.66,3647.16,4506.0,0.19
2017-05-10,3645.74,3646.66,3648.27,3633.45,4411.0,-0.09
2017-05-11,3623.55,3649.34,3650.81,3607.87,5242.0,-0.61
2017-05-12,3637.52,3623.63,3637.52,3620.36,4111.0,0.39
2017-05-15,3641.88,3640.38,3646.64,3621.08,3335.0,0.12
2017-05-16,3641.89,3641.95,3648.69,3631.47,3913.0,0.0
2017-05-17,3584.83,3626.25,3635.53,3571.77,4851.0,-1.57
2017-05-18,3562.22,3584.07,3584.69,3529.35,6622.0,-0.63
2017-05-19,3587.01,3566.01,3590.43,3566.01,5255.0,0.7
2017-05-22,3576.53,3589.17,3592.08,3571.21,4076.0,-0.29
2017-05-23,3595.03,3572.53,3605.91,3567.77,4216.0,0.52
2017-05-24,3586.62,3592.94,3599.61,3580.27,3186.0,-0.23
2017-05-25,3584.55,3594.76,3603.39,3572.02,3105.0,-0.06
2017-05-26,3579.02,3582.62,3582.62,3546.88,3971.0,-0.15
2017-05-29,3578.95,3577.34,3580.57,3568.5,2451.0,0.0
2017-05-30,3561.22,3558.59,3569.87,3547.1,4125.0,-0.5
2017-05-31,3554.59,3560.52,3587.48,3552.33,6346.0,-0.19
2017-06-01,3567.02,3556.18,3575.14,3554.52,4050.0,0.35
2017-06-02,3591.82,3578.43,3615.06,3578.43,4105.0,0.7
2017-06-05,3579.55,3591.69,3592.33,3575.87,2045.0,-0.34
2017-06-06,3554.18,3569.59,3572.1,3548.16,3954.0,-0.71
2017-06-07,3548.84,3552.76,3577.29,3540.23,5200.0,-0.15
2017-06-08,3563.88,3547.73,3574.0,3547.67,5341.0,0.42
2017-06-09,3586.07,3566.39,3597.85,3561.12,4479.0,0.62
2017-06-12,3543.95,3581.22,3581.22,3539.75,4214.0,-1.17
2017-06-13,3557.87,3548.18,3567.43,3548.18,3240.0,0.39
2017-06-14,3547.15,3565.13,3589.23,3547.15,4495.0,-0.3
2017-06-15,3525.46,3545.05,3545.05,3500.41,5915.0,-0.61
2017-06-16,3543.88,3531.06,3552.81,3527.99,8363.0,0.52
2017-06-19,3579.58,3565.05,3591.54,3565.05,3469.0,1.01
2017-06-20,3560.66,3586.02,3598.06,3560.66,3519.0,-0.53
2017-06-21,3554.35,3554.11,3562.18,3521.91,4271.0,-0.18
2017-06-22,3555.76,3549.76,3558.36,3526.52,3498.0,0.04
2017-06-23,3543.68,3552.53,3555.58,3529.02,2999.0,-0.34
2017-06-26,3561.76,3554.28,3581.43,3554.28,4567.0,0.51
2017-06-27,3538.32,3557.63,3560.61,3529.98,4855.0,-0.66
2017-06-28,3535.7,3530.67,3543.7,3498.48,5727.0,-0.07
2017-06-29,3471.33,3541.99,3555.37,3463.99,6023.0,-1.82
2017-06-30,3441.88,3472.57,3489.67,3439.79,5100.0,-0.85
2017-07-03,3491.81,3449.75,3494.63,3449.75,4059.0,1.45
2017-07-04,3479.47,3486.38,3493.76,3471.6,3003.0,-0.35
2017-07-05,3478.41,3477.09,3488.39,3468.29,4130.0,-0.03
2017-07-06,3462.06,3480.52,3466.45,3435.29,4768.0,-0.47
2017-07-07,3463.84,3461.67,3464.05,3451.37,3641.0,0.05
2017-07-10,3478.06,3470.49,3486.49,3468.0,3212.0,0.41
2017-07-11,3464.48,3479.85,3494.49,3460.64,3388.0,-0.39
2017-07-12,3515.23,3472.41,3524.58,3472.41,3895.0,1.46
2017-07-13,3527.83,3518.01,3539.48,3515.39,3980.0,0.36
2017-07-14,3525.94,3530.19,3532.6,3512.56,3603.0,-0.05
2017-07-17,3516.35,3528.12,3531.53,3505.51,3310.0,-0.27
2017-07-18,3478.68,3510.75,3517.82,3469.62,4373.0,-1.07
2017-07-19,3500.28,3483.99,3503.54,3478.03,4467.0,0.62
2017-07-20,3499.49,3502.01,3529.99,3486.32,4723.0,-0.02
2017-07-21,3451.71,3497.46,3507.62,3436.9,5038.0,-1.37
2017-07-24,3453.17,3456.94,3463.74,3431.19,3731.0,0.04
2017-07-25,3473.54,3454.33,3494.66,3454.33,4185.0,0.59
2017-07-26,3491.19,3474.01,3499.53,3472.07,3175.0,0.51
2017-07-27,3493.14,3489.36,3506.85,3481.25,4017.0,0.06
2017-07-28,3467.73,3481.89,3481.89,3450.1,4281.0,-0.73
2017-07-31,3449.36,3464.85,3479.47,3447.88,3874.0,-0.53
2017-08-01,3477.39,3457.97,3490.49,3447.73,4267.0,0.81
2017-08-02,3459.32,3478.21,3481.74,3451.31,3261.0,-0.52
2017-08-03,3466.37,3456.28,3471.81,3438.15,3250.0,0.2
2017-08-04,3507.41,3462.55,3515.54,3456.27,3567.0,1.18
2017-08-07,3505.8,3509.59,3516.78,3497.21,2280.0,-0.05
2017-08-08,3515.63,3503.99,3524.94,3493.03,2645.0,0.28
2017-08-09,3468.45,3504.17,3504.17,3452.74,4244.0,-1.34
2017-08-10,3433.54,3466.11,3466.22,3424.81,3566.0,-1.01
2017-08-11,3406.34,3422.3,3422.3,3392.87,3823.0,-0.79
2017-08-14,3450.66,3420.9,3460.93,3420.9,2884.0,1.3
2017-08-15,3461.91,3454.39,3473.53,3454.26,2454.0,0.33
2017-08-16,3484.57,3465.63,3497.29,3465.63,2871.0,0.65
2017-08-17,3461.97,3482.19,3484.66,3456.15,3404.0,-0.65
2017-08-18,3446.03,3441.21,3448.39,3420.5,3453.0,-0.46
2017-08-21,3423.53,3436.84,3442.24,3411.06,2619.0,-0.65
2017-08-22,3455.59,3432.46,3459.19,3432.46,2765.0,0.94
2017-08-23,3438.63,3454.83,3467.78,3432.05,2896.0,-0.49
2017-08-24,3444.73,3443.12,3460.78,3443.12,2808.0,0.18
2017-08-25,3438.55,3447.52,3461.62,3432.77,2403.0,-0.18
2017-08-28,3421.03,3432.38,3439.65,3412.33,1775.0,-0.51
2017-08-29,3388.22,3411.89,3411.89,3363.68,3998.0,-0.96
2017-08-30,3403.71,3405.65,3412.26,3397.27,2455.0,0.46
2017-08-31,3421.47,3409.62,3437.82,3409.62,3581.0,0.52
2017-09-01,3443.88,3425.84,3454.55,3425.84,2736.0,0.65
2017-09-04,3429.98,3436.36,3438.06,3419.06,1827.0,-0.4
2017-09-05,3420.86,3432.55,3448.93,3415.98,2874.0,-0.27
2017-09-06,3433.8,3407.94,3444.48,3396.69,4189.0,0.38
2017-09-07,3447.66,3437.61,3467.94,3437.61,3758.0,0.4
2017-09-08,3447.69,3441.34,3453.35,3433.63,3290.0,0.0
2017-09-11,3495.19,3456.77,3496.7,3456.77,3549.0,1.38
2017-09-12,3512.56,3498.32,3520.82,3498.32,3524.0,0.5
2017-09-13,3523.14,3509.64,3529.18,3506.61,3752.0,0.3
2017-09-14,3526.48,3521.03,3530.28,3512.01,3722.0,0.09
2017-09-15,3515.55,3526.01,3532.78,3509.93,8103.0,-0.31
2017-09-18,3526.74,3523.6,3537.22,3522.59,2890.0,0.32
2017-09-19,3531.18,3524.28,3531.18,3520.93,2599.0,0.13
2017-09-20,3525.55,3528.17,3533.66,3520.72,3002.0,-0.16
2017-09-21,3539.59,3531.52,3546.56,3531.52,3579.0,0.4
2017-09-22,3541.42,3534.27,3553.08,3532.39,3134.0,0.05
2017-09-25,3537.81,3537.21,3546.83,3530.88,3003.0,-0.1
2017-09-26,3536.38,3534.89,3542.88,3529.19,2678.0,-0.04
2017-09-27,3555.17,3538.43,3563.01,3538.43,3910.0,0.53
2017-09-28,3563.64,3556.5,3566.6,3556.5,3490.0,0.24
2017-09-29,3594.85,3563.61,3594.85,3560.73,4130.0,0.88
2017-10-02,3602.69,3590.71,3602.69,3588.4,3463.0,0.22
2017-10-03,3605.73,3605.99,3607.31,3598.71,2015.0,0.08
2017-10-04,3594.91,3606.6,3608.45,3584.82,5061.0,-0.3
2017-10-05,3613.54,3592.66,3613.73,3589.66,4091.0,0.52
2017-10-06,3603.32,3614.17,3614.17,3595.5,3236.0,-0.28
2017-10-09,3610.5,3604.61,3618.34,3600.94,2757.0,0.2
2017-10-10,3598.79,3607.0,3609.04,3589.98,3372.0,-0.32
2017-10-11,3607.39,3600.17,3608.51,3591.24,4115.0,0.24
2017-10-12,3605.54,3608.16,3608.16,3595.56,2668.0,-0.05
2017-10-13,3604.55,3607.09,3618.35,3599.51,2930.0,-0.03
2017-10-16,3606.27,3607.18,3613.49,3600.22,3070.0,0.05
2017-10-17,3607.77,3609.3,3619.66,3598.12,2955.0,0.04
2017-10-18,3619.65,3608.02,3625.87,3607.21,2744.0,0.33
2017-10-19,3602.08,3616.49,3616.49,3586.35,3681.0,-0.49
2017-10-20,3605.09,3608.75,3617.52,3600.05,3595.0,0.08
2017-10-23,3608.87,3606.71,3625.65,3597.08,2654.0,0.1
2017-10-24,3610.69,3606.64,3624.73,3605.03,3373.0,0.05
2017-10-25,3591.46,3609.02,3622.62,3585.32,3504.0,-0.53
2017-10-26,3637.2,3593.99,3639.81,3580.21,6164.0,1.27
2017-10-27,3652.23,3642.79,3670.0,3642.79,5103.0,0.41
2017-10-30,3662.18,3653.02,3668.55,3653.02,3518.0,0.27
2017-10-31,3673.95,3664.69,3677.66,3662.77,3150.0,0.32
2017-11-01,3697.4,3676.99,3708.82,3676.99,3862.0,0.64
2017-11-02,3688.8,3693.4,3698.56,3673.25,3507.0,-0.23
2017-11-03,3689.96,3691.57,3694.03,3677.39,3390.0,0.03
2017-11-06,3682.36,3684.26,3685.75,3670.47,3231.0,-0.21
2017-11-07,3658.77,3684.23,3695.32,3656.18,3824.0,-0.64
2017-11-08,3655.04,3660.71,3667.69,3642.1,3924.0,-0.1
2017-11-09,3612.5,3655.59,3661.05,3610.01,3864.0,-1.16
2017-11-10,3593.76,3614.91,3620.01,3591.15,3586.0,-0.52
2017-11-13,3574.52,3596.7,3601.45,3546.32,3437.0,-0.54
2017-11-14,3556.38,3576.88,3588.33,3546.2,3299.0,-0.51
2017-11-15,3545.72,3554.05,3554.05,3519.35,4316.0,-0.3
2017-11-16,3564.8,3549.29,3576.86,3549.29,3415.0,0.54
2017-11-17,3547.46,3564.96,3572.16,3541.22,4047.0,-0.49
2017-11-20,3561.41,3545.52,3567.07,3536.21,3070.0,0.39
2017-11-21,3579.32,3557.27,3591.53,3551.4,3594.0,0.5
2017-11-22,3562.65,3581.21,3596.64,3562.53,3150.0,-0.47
2017-11-23,3572.07,3558.22,3581.01,3545.57,2510.0,0.26
2017-11-24,3581.23,3571.86,3601.16,3568.55,2548.0,0.26
2017-11-27,3564.02,3576.18,3596.79,3564.02,2764.0,-0.48
2017-11-28,3583.49,3565.8,3587.28,3559.13,2621.0,0.55
2017-11-29,3589.91,3593.83,3619.43,3585.51,3945.0,0.18
2017-11-30,3569.93,3593.53,3614.6,3569.93,4927.0,-0.56
2017-12-01,3527.55,3571.63,3575.29,3524.36,4261.0,-1.19
2017-12-04,3576.22,3536.38,3585.68,3536.38,3455.0,1.38
2017-12-05,3570.57,3572.78,3583.08,3552.34,3086.0,-0.16
2017-12-06,3561.57,3561.94,3569.34,3531.57,3397.0,-0.25
2017-12-07,3573.13,3561.99,3579.52,3558.5,3060.0,0.32
2017-12-08,3591.45,3577.0,3612.39,3577.0,4354.0,0.51
2017-12-11,3582.21,3594.7,3601.22,3579.18,3286.0,-0.26
2017-12-12,3600.35,3584.67,3600.35,3568.53,3941.0,0.51
2017-12-13,3581.75,3599.92,3601.89,3581.75,4164.0,-0.52
2017-12-14,3556.22,3578.82,3582.53,3556.22,4399.0,-0.71
2017-12-15,3560.53,3554.37,3562.66,3542.85,7558.0,0.12
2017-12-18,3609.42,3568.0,3613.41,3568.0,3754.0,1.37
2017-12-19,3582.22,3609.18,3613.57,3581.95,2853.0,-0.75
2017-12-20,3552.65,3580.58,3585.62,3545.64,3058.0,-0.83
2017-12-21,3570.78,3550.84,3574.96,3534.22,3369.0,0.51
2017-12-22,3553.39,3565.99,3565.99,3548.47,2594.0,-0.49
2017-12-27,3550.17,3553.16,3568.91,3541.43,2051.0,-0.09
2017-12-28,3524.31,3549.45,3549.75,3519.85,2297.0,-0.73
2017-12-29,3503.96,3524.12,3524.24,3503.2,2780.0,-0.58
2018-01-02,3490.19,3506.5,3508.37,3469.23,3538.0,-0.39
2018-01-03,3509.88,3492.9,3519.73,3488.91,3435.0,0.56
2018-01-04,3568.88,3520.84,3580.47,3520.84,4499.0,1.68
2018-01-05,3607.63,3570.51,3608.7,3570.51,3651.0,1.09
2018-01-08,3616.45,3610.97,3624.74,3608.82,2913.0,0.24
2018-01-09,3622.87,3617.48,3629.73,3614.16,3258.0,0.18
2018-01-10,3609.83,3619.88,3625.35,3599.14,5564.0,-0.36
2018-01-11,3595.24,3613.99,3617.75,3588.07,4752.0,-0.4
2018-01-12,3612.61,3597.19,3616.01,3597.19,3752.0,0.48
2018-01-15,3611.81,3612.73,3623.44,3603.47,2683.0,-0.02
2018-01-16,3622.01,3613.1,3639.05,3611.56,3641.0,0.28
2018-01-17,3612.78,3613.09,3624.68,3603.3,3391.0,-0.25
2018-01-18,3620.91,3616.75,3628.13,3606.2,3655.0,0.23
2018-01-19,3649.07,3622.22,3653.03,3619.23,3983.0,0.78
2018-01-22,3665.28,3650.78,3665.53,3644.86,3816.0,0.44
2018-01-23,3672.29,3675.44,3687.22,3662.86,3742.0,0.19
2018-01-24,3643.22,3671.01,3674.5,3643.22,3441.0,-0.79
2018-01-25,3630.15,3640.71,3659.33,3614.06,4096.0,-0.36
2018-01-26,3647.41,3631.29,3652.48,3630.43,3115.0,0.48
2018-01-29,3643.04,3648.41,3651.21,3636.05,3550.0,-0.12
2018-01-30,3606.75,3633.26,3633.35,3601.39,4403.0,-1.0
2018-01-31,3609.29,3605.7,3620.94,3600.36,4189.0,0.07
2018-02-01,3577.35,3616.16,3636.22,3567.2,4968.0,-0.88
2018-02-02,3523.28,3570.95,3570.95,3523.28,5023.0,-1.51
2018-02-05,3478.77,3517.24,3517.24,3474.85,4935.0,-1.26
2018-02-06,3394.92,3415.57,3440.38,3362.85,9628.0,-2.41
2018-02-07,3454.52,3408.1,3465.9,3402.34,6713.0,1.76
2018-02-08,3377.3,3433.19,3443.75,3360.54,6305.0,-2.24
2018-02-09,3325.99,3372.19,3379.46,3306.66,7122.0,-1.52
2018-02-12,3368.25,3334.17,3387.07,3334.17,4355.0,1.27
2018-02-13,3340.93,3367.69,3375.23,3340.93,3866.0,-0.81
2018-02-14,3369.83,3350.46,3381.13,3314.5,5513.0,0.87
2018-02-15,3389.63,3373.91,3414.34,3373.91,4675.0,0.59
2018-02-16,3426.8,3398.61,3432.07,3398.61,4877.0,1.1
2018-02-19,3407.79,3432.53,3436.68,3404.09,2587.0,-0.55
2018-02-20,3435.08,3407.66,3436.21,3398.92,3701.0,0.8
2018-02-21,3430.16,3431.68,3432.97,3405.35,3409.0,-0.14
2018-02-22,3431.99,3418.53,3440.19,3393.28,4412.0,0.05
2018-02-23,3441.46,3435.74,3444.23,3423.62,3760.0,0.28
2018-02-26,3463.18,3449.16,3469.98,3449.16,3148.0,0.63
2018-02-27,3458.03,3468.28,3476.21,3448.53,3810.0,-0.15
2018-02-28,3438.96,3451.47,3462.98,3434.04,4037.0,-0.55
2018-03-01,3399.16,3429.96,3435.28,3387.02,4180.0,-1.16
2018-03-02,3324.75,3386.54,3386.54,3316.75,5395.0,-2.19
2018-03-05,3355.32,3314.74,3360.45,3309.25,4811.0,0.92
2018-03-06,3357.86,3366.56,3390.81,3357.86,3965.0,0.08
2018-03-07,3377.36,3354.26,3384.29,3337.39,3509.0,0.58
2018-03-08,3413.28,3376.65,3419.33,3374.77,3827.0,1.06
2018-03-09,3420.54,3410.95,3435.04,3403.06,3362.0,0.21
2018-03-12,3429.48,3434.51,3444.04,3417.97,3010.0,0.26
2018-03-13,3397.35,3430.57,3446.42,3385.64,4176.0,-0.94
2018-03-14,3390.98,3397.48,3417.0,3384.2,3800.0,-0.19
2018-03-15,3414.13,3394.31,3419.01,3391.11,4089.0,0.68
2018-03-16,3437.4,3412.86,3448.63,3411.82,9528.0,0.68
2018-03-19,3394.79,3430.6,3430.6,3386.86,3546.0,-1.24
2018-03-20,3412.08,3398.88,3415.35,3383.17,3071.0,0.51
2018-03-21,3401.04,3413.67,3418.43,3387.29,3646.0,-0.32
2018-03-22,3348.19,3393.61,3394.38,3320.09,5281.0,-1.55
2018-03-23,3298.07,3339.7,3339.7,3279.46,5540.0,-1.5
2018-03-26,3278.72,3301.5,3320.86,3261.86,4083.0,-0.59
2018-03-27,3316.95,3286.7,3336.8,3286.7,3750.0,1.17
2018-03-28,3331.25,3306.34,3331.25,3267.96,4633.0,0.43
2018-03-29,3361.5,3335.69,3379.38,3333.25,3940.0,0.91
